date,origin_city,dest_city,departure_date_time,arrival_date_time,passengers
2022-12-20,Leeside,Perezborough,2022-12-20 14:23,2022-12-22 15:01,
2023-10-23,Lake Allisonmouth,Yoderhaven,2023-10-23 01:06,2023-10-25 17:55,95.0
,Jennifershire,Morrisonstad,,,183.0
2022-07-15,Barbaraside,Howardton,2022-07-15 01:56,2022-07-16 23:00,50.0
2023-10-24,Albertshire,Davishaven,2023-10-24 23:49,2023-10-25 04:11,126.0
2023-08-21,Coleland,Coleland,2023-08-21 17:30,2023-08-23 13:03,78.0
2022-08-22,North Evan,Deborahshire,2022-08-22 17:12,2022-08-24 19:39,149.0
2022-03-04,Perezborough,Mcculloughhaven,2022-03-04 15:31,2022-03-06 22:30,63.0
,Smithhaven,Lake Allisonmouth,,,147.0
2022-01-21,West Susan,Barbaraside,2022-01-21 00:42,2022-01-22 15:40,189.0
2022-02-10,North Amanda,Webbstad,2022-02-10 20:03,2022-02-12 06:35,151.0
2023-09-13,Matthewton,Holmesburgh,2023-09-13 11:12,2023-09-15 01:04,102.0
2022-07-30,Coleland,Mcculloughhaven,2022-07-30 05:13,2022-08-01 03:24,180.0
2022-12-14,East Victoriaton,South Jacob,2022-12-14 03:26,2022-12-15 10:53,86.0
2022-05-04,Barbaraside,Holmesburgh,2022-05-04 06:07,2022-05-05 02:16,50.0
2023-09-22,Mcculloughhaven,Matthewton,2023-09-22 18:42,2023-09-23 07:43,119.0
2022-09-08,Mcculloughhaven,Maldonadoland,2022-09-08 14:28,2022-09-09 20:22,95.0
2023-01-22,Albertshire,Yoderhaven,2023-01-22 05:07,2023-01-23 01:46,173.0
2023-01-23,Lake Christopher,Smithhaven,2023-01-23 07:47,2023-01-25 04:43,195.0
2023-02-23,West Danastad,Smithhaven,2023-02-23 03:06,2023-02-24 05:04,133.0
2022-07-31,Yoderhaven,Matthewstad,2022-07-31 12:34,2022-08-01 16:33,200.0
2022-04-29,South Jamesborough,Bellland,2022-04-29 23:57,2022-04-30 21:07,63.0
2023-12-16,Lake Jessemouth,South Jamesborough,2023-12-16 08:27,2023-12-18 17:15,119.0
2022-04-23,West Cynthiabury,Leeside,2022-04-23 09:38,2022-04-25 23:31,79.0
2022-04-15,South Heidi,East Cynthiafort,2022-04-15 03:56,2022-04-17 16:15,75.0
2022-09-13,Jennifershire,Boonetown,2022-09-13 23:56,2022-09-15 05:40,76.0
2022-03-05,East Victoriaton,South Jamesborough,2022-03-05 08:55,2022-03-06 20:02,154.0
2023-01-15,North Evan,Holmesburgh,2023-01-15 15:06,2023-01-17 17:22,101.0
2022-01-18,Stephanieborough,Stephanieborough,2022-01-18 11:47,2022-01-19 06:04,81.0
2023-05-27,Bellland,Webbstad,2023-05-27 22:02,2023-05-28 08:03,
,Vargasview,Morrisonstad,,,175.0
2023-02-07,Matthewstad,Barbaraside,2023-02-07 03:14,2023-02-08 12:25,142.0
2023-10-01,Port Michael,Rachelmouth,2023-10-01 16:26,2023-10-03 12:55,103.0
2022-09-10,West Danastad,Bellland,2022-09-10 11:42,2022-09-12 01:34,161.0
2023-06-26,Howardton,Matthewton,2023-06-26 10:59,2023-06-28 21:18,186.0
2023-01-28,Morrisonstad,West Susan,2023-01-28 16:08,2023-01-30 11:52,101.0
2022-06-15,Morrisonstad,Huffside,2022-06-15 04:39,2022-06-17 14:32,68.0
,Mcculloughhaven,Coleland,,,175.0
2023-12-01,Lake Christopher,Holmesburgh,2023-12-01 08:22,2023-12-02 21:43,155.0
2023-08-15,Howardton,East Victoriaton,2023-08-15 13:57,2023-08-16 10:48,140.0
2022-04-18,West Susan,East Alexander,2022-04-18 06:21,2022-04-19 15:28,134.0
,South Luis,Stephanieborough,,,55.0
,South Luis,Stephanieborough,,,56.0
2022-01-18,Webbstad,Morrisonstad,2022-01-18 00:20,2022-01-19 14:11,132.0
2022-04-20,South Heidi,Matthewton,2022-04-20 19:15,2022-04-22 21:09,139.0
,East Victoriaton,Lake Megan,,,160.0
2022-10-21,South Jamesborough,North Evan,2022-10-21 13:41,2022-10-23 23:22,69.0
2022-04-07,Bellland,Mcculloughhaven,2022-04-07 14:07,2022-04-08 17:53,91.0
2023-05-16,East Victoriaton,Jennifershire,2023-05-16 19:02,2023-05-18 21:40,85.0
,South Jacob,Stephanieborough,,,178.0
2023-09-09,Matthewstad,South Andreburgh,2023-09-09 01:52,2023-09-11 14:58,190.0
,North Amanda,West Kyleborough,,,173.0
2023-03-31,Davishaven,Leeside,2023-03-31 06:39,2023-04-01 06:44,186.0
2023-11-30,Huffside,Lake Joshuaport,2023-11-30 13:51,2023-12-01 08:56,120.0
2022-03-27,Lake Christopher,Smithhaven,2022-03-27 06:11,2022-03-29 00:22,158.0
2022-06-12,Howardton,Jennifershire,2022-06-12 14:25,2022-06-14 15:35,
2023-04-05,Bellland,East Joseph,2023-04-05 15:21,2023-04-07 13:54,166.0
2023-09-11,Diazville,Holdenton,2023-09-11 04:26,2023-09-12 14:52,110.0
2023-03-18,South Jamesborough,Holdenton,2023-03-18 07:07,2023-03-19 17:51,160.0
2023-12-02,West Kyleborough,North Evan,2023-12-02 23:45,2023-12-03 11:57,108.0
